;country;description;designation;points;price;region_1;taster_name;title;variety;winery
10;US;"['[', ""'Soft"", ""'"", ',', ""'"", ',', ""'"", ',', ""'supple"", ""'"", ',', ""'plum"", ""'"", ',', ""'envelopes"", ""'"", ',', ""'oaky"", ""'"", ',', ""'structure"", ""'"", ',', ""'Cabernet"", ""'"", ',', ""'"", ',', ""'"", ',', ""'supported"", ""'"", ',', ""'15"", ""'"", ',', ""'"", '%', ""'"", ',', ""'Merlot"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Coffee"", ""'"", ',', ""'chocolate"", ""'"", ',', ""'complete"", ""'"", ',', ""'picture"", ""'"", ',', ""'"", ',', ""'"", ',', ""'finishing"", ""'"", ',', ""'strong"", ""'"", ',', ""'end"", ""'"", ',', ""'"", ',', ""'"", ',', ""'resulting"", ""'"", ',', ""'value-priced"", ""'"", ',', ""'wine"", ""'"", ',', ""'attractive"", ""'"", ',', ""'flavor"", ""'"", ',', ""'immediate"", ""'"", ',', ""'accessibility"", ""'"", ',', ""'"", '.', ""'"", ']']";Mountain Cuvée;87;19.0;Napa Valley;Virginie Boone;Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley);Cabernet Sauvignon;Kirkland Signature
11;France;"['[', ""'This"", ""'"", ',', ""'dry"", ""'"", ',', ""'wine"", ""'"", ',', ""'"", ',', ""'"", ',', ""'spicy"", ""'"", ',', ""'"", ',', ""'"", ',', ""'tight"", ""'"", ',', ""'"", ',', ""'"", ',', ""'taut"", ""'"", ',', ""'texture"", ""'"", ',', ""'strongly"", ""'"", ',', ""'mineral"", ""'"", ',', ""'character"", ""'"", ',', ""'layered"", ""'"", ',', ""'citrus"", ""'"", ',', ""'well"", ""'"", ',', ""'pepper"", ""'"", ',', ""'"", '.', ""'"", ',', ""'It"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'food"", ""'"", ',', ""'wine"", ""'"", ',', ""'almost"", ""'"", ',', ""'crisp"", ""'"", ',', ""'aftertaste"", ""'"", ',', ""'"", '.', ""'"", ']']";;87;30.0;Alsace;Roger Voss;Leon Beyer 2012 Gewurztraminer (Alsace);Gewürztraminer;Leon Beyer
12;US;"['[', ""'Slightly"", ""'"", ',', ""'reduced"", ""'"", ',', ""'"", ',', ""'"", ',', ""'wine"", ""'"", ',', ""'offers"", ""'"", ',', ""'chalky"", ""'"", ',', ""'"", ',', ""'"", ',', ""'tannic"", ""'"", ',', ""'backbone"", ""'"", ',', ""'otherwise"", ""'"", ',', ""'juicy"", ""'"", ',', ""'explosion"", ""'"", ',', ""'rich"", ""'"", ',', ""'black"", ""'"", ',', ""'cherry"", ""'"", ',', ""'"", ',', ""'"", ',', ""'whole"", ""'"", ',', ""'accented"", ""'"", ',', ""'throughout"", ""'"", ',', ""'firm"", ""'"", ',', ""'oak"", ""'"", ',', ""'cigar"", ""'"", ',', ""'box"", ""'"", ',', ""'"", '.', ""'"", ']']";;87;34.0;Alexander Valley;Virginie Boone;Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley);Cabernet Sauvignon;Louis M. Martini
13;Italy;"['[', ""'This"", ""'"", ',', ""'dominated"", ""'"", ',', ""'oak"", ""'"", ',', ""'oak-driven"", ""'"", ',', ""'aromas"", ""'"", ',', ""'include"", ""'"", ',', ""'roasted"", ""'"", ',', ""'coffee"", ""'"", ',', ""'bean"", ""'"", ',', ""'"", ',', ""'"", ',', ""'espresso"", ""'"", ',', ""'"", ',', ""'"", ',', ""'coconut"", ""'"", ',', ""'vanilla"", ""'"", ',', ""'carry"", ""'"", ',', ""'palate"", ""'"", ',', ""'"", ',', ""'"", ',', ""'together"", ""'"", ',', ""'plum"", ""'"", ',', ""'chocolate"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Astringent"", ""'"", ',', ""'"", ',', ""'"", ',', ""'drying"", ""'"", ',', ""'tannins"", ""'"", ',', ""'give"", ""'"", ',', ""'rather"", ""'"", ',', ""'abrupt"", ""'"", ',', ""'finish"", ""'"", ',', ""'"", '.', ""'"", ']']";Rosso;87;;Etna;Kerin O’Keefe;Masseria Setteporte 2012 Rosso  (Etna);Nerello Mascalese;Masseria Setteporte
14;US;"['[', ""'Building"", ""'"", ',', ""'150"", ""'"", ',', ""'years"", ""'"", ',', ""'six"", ""'"", ',', ""'generations"", ""'"", ',', ""'winemaking"", ""'"", ',', ""'tradition"", ""'"", ',', ""'"", ',', ""'"", ',', ""'winery"", ""'"", ',', ""'trends"", ""'"", ',', ""'toward"", ""'"", ',', ""'leaner"", ""'"", ',', ""'style"", ""'"", ',', ""'"", ',', ""'"", ',', ""'classic"", ""'"", ',', ""'California"", ""'"", ',', ""'buttercream"", ""'"", ',', ""'aroma"", ""'"", ',', ""'cut"", ""'"", ',', ""'tart"", ""'"", ',', ""'green"", ""'"", ',', ""'apple"", ""'"", ',', ""'"", '.', ""'"", ',', ""'In"", ""'"", ',', ""'good"", ""'"", ',', ""'everyday"", ""'"", ',', ""'sipping"", ""'"", ',', ""'wine"", ""'"", ',', ""'"", ',', ""'"", ',', ""'flavors"", ""'"", ',', ""'range"", ""'"", ',', ""'pear"", ""'"", ',', ""'barely"", ""'"", ',', ""'ripe"", ""'"", ',', ""'pineapple"", ""'"", ',', ""'prove"", ""'"", ',', ""'approachable"", ""'"", ',', ""'distinctive"", ""'"", ',', ""'"", '.', ""'"", ']']";;87;12.0;Central Coast;Matt Kettmann;Mirassou 2012 Chardonnay (Central Coast);Chardonnay;Mirassou
15;Germany;"['[', ""'Zesty"", ""'"", ',', ""'orange"", ""'"", ',', ""'peels"", ""'"", ',', ""'apple"", ""'"", ',', ""'notes"", ""'"", ',', ""'abound"", ""'"", ',', ""'sprightly"", ""'"", ',', ""'"", ',', ""'"", ',', ""'mineral-toned"", ""'"", ',', ""'Riesling"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Off"", ""'"", ',', ""'dry"", ""'"", ',', ""'palate"", ""'"", ',', ""'"", ',', ""'"", ',', ""'yet"", ""'"", ',', ""'racy"", ""'"", ',', ""'lean"", ""'"", ',', ""'"", ',', ""'"", ',', '``', ""'s"", ""''"", ',', ""'refreshing"", ""'"", ',', ""'"", ',', ""'"", ',', ""'easy"", ""'"", ',', ""'quaffer"", ""'"", ',', ""'wide"", ""'"", ',', ""'appeal"", ""'"", ',', ""'"", '.', ""'"", ']']";Devon;87;24.0;;Anna Lee C. Iijima;Richard Böcking 2013 Devon Riesling (Mosel);Riesling;Richard Böcking
16;Argentina;"['[', ""'Baked"", ""'"", ',', ""'plum"", ""'"", ',', ""'"", ',', ""'"", ',', ""'molasses"", ""'"", ',', ""'"", ',', ""'"", ',', ""'balsamic"", ""'"", ',', ""'vinegar"", ""'"", ',', ""'cheesy"", ""'"", ',', ""'oak"", ""'"", ',', ""'aromas"", ""'"", ',', ""'feed"", ""'"", ',', ""'palate"", ""'"", ',', '``', ""'s"", ""''"", ',', ""'braced"", ""'"", ',', ""'bolt"", ""'"", ',', ""'acidity"", ""'"", ',', ""'"", '.', ""'"", ',', ""'"", 'A', ""'"", ',', ""'compact"", ""'"", ',', ""'set"", ""'"", ',', ""'saucy"", ""'"", ',', ""'red-berry"", ""'"", ',', ""'plum"", ""'"", ',', ""'flavors"", ""'"", ',', ""'features"", ""'"", ',', ""'tobacco"", ""'"", ',', ""'peppery"", ""'"", ',', ""'accents"", ""'"", ',', ""'"", ',', ""'"", ',', ""'finish"", ""'"", ',', ""'mildly"", ""'"", ',', ""'green"", ""'"", ',', ""'flavor"", ""'"", ',', ""'"", ',', ""'"", ',', ""'respectable"", ""'"", ',', ""'weight"", ""'"", ',', ""'balance"", ""'"", ',', ""'"", '.', ""'"", ']']";Felix;87;30.0;Cafayate;Michael Schachner;Felix Lavaque 2010 Felix Malbec (Cafayate);Malbec;Felix Lavaque
17;Argentina;"['[', ""'Raw"", ""'"", ',', ""'black-cherry"", ""'"", ',', ""'aromas"", ""'"", ',', ""'direct"", ""'"", ',', ""'simple"", ""'"", ',', ""'good"", ""'"", ',', ""'"", '.', ""'"", ',', ""'This"", ""'"", ',', ""'juicy"", ""'"", ',', ""'feel"", ""'"", ',', ""'thickens"", ""'"", ',', ""'time"", ""'"", ',', ""'"", ',', ""'"", ',', ""'oak"", ""'"", ',', ""'character"", ""'"", ',', ""'extract"", ""'"", ',', ""'becoming"", ""'"", ',', ""'apparent"", ""'"", ',', ""'"", '.', ""'"", ',', ""'"", 'A', ""'"", ',', ""'flavor"", ""'"", ',', ""'profile"", ""'"", ',', ""'driven"", ""'"", ',', ""'dark-berry"", ""'"", ',', ""'fruits"", ""'"", ',', ""'smoldering"", ""'"", ',', ""'oak"", ""'"", ',', ""'finishes"", ""'"", ',', ""'meaty"", ""'"", ',', ""'hot"", ""'"", ',', ""'"", '.', ""'"", ']']";Winemaker Selection;87;13.0;Mendoza;Michael Schachner;Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza);Malbec;Gaucho Andino
18;Spain;"['[', ""'Desiccated"", ""'"", ',', ""'blackberry"", ""'"", ',', ""'"", ',', ""'"", ',', ""'leather"", ""'"", ',', ""'"", ',', ""'"", ',', ""'charred"", ""'"", ',', ""'wood"", ""'"", ',', ""'mint"", ""'"", ',', ""'aromas"", ""'"", ',', ""'carry"", ""'"", ',', ""'nose"", ""'"", ',', ""'full-bodied"", ""'"", ',', ""'"", ',', ""'"", ',', ""'tannic"", ""'"", ',', ""'"", ',', ""'"", ',', ""'heavily"", ""'"", ',', ""'oaked"", ""'"", ',', ""'Tinto"", ""'"", ',', ""'Fino"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Flavors"", ""'"", ',', ""'clove"", ""'"", ',', ""'woodspice"", ""'"", ',', ""'sit"", ""'"", ',', ""'top"", ""'"", ',', ""'blackberry"", ""'"", ',', ""'fruit"", ""'"", ',', ""'"", ',', ""'"", ',', ""'hickory"", ""'"", ',', ""'forceful"", ""'"", ',', ""'oak-based"", ""'"", ',', ""'aromas"", ""'"", ',', ""'rise"", ""'"", ',', ""'dominate"", ""'"", ',', ""'finish"", ""'"", ',', ""'"", '.', ""'"", ']']";Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza;87;28.0;Ribera del Duero;Michael Schachner;Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero);Tempranillo Blend;Pradorey
19;US;"['[', ""'Red"", ""'"", ',', ""'fruit"", ""'"", ',', ""'aromas"", ""'"", ',', ""'pervade"", ""'"", ',', ""'nose"", ""'"", ',', ""'"", ',', ""'"", ',', ""'cigar"", ""'"", ',', ""'box"", ""'"", ',', ""'menthol"", ""'"", ',', ""'notes"", ""'"", ',', ""'riding"", ""'"", ',', ""'back"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'palate"", ""'"", ',', ""'slightly"", ""'"", ',', ""'restrained"", ""'"", ',', ""'entry"", ""'"", ',', ""'"", ',', ""'"", ',', ""'opens"", ""'"", ',', ""'riper"", ""'"", ',', ""'notes"", ""'"", ',', ""'cherry"", ""'"", ',', ""'plum"", ""'"", ',', ""'specked"", ""'"", ',', ""'crushed"", ""'"", ',', ""'pepper"", ""'"", ',', ""'"", '.', ""'"", ',', ""'This"", ""'"", ',', ""'blend"", ""'"", ',', ""'Merlot"", ""'"", ',', ""'"", ',', ""'"", ',', ""'Cabernet"", ""'"", ',', ""'Sauvignon"", ""'"", ',', ""'Cabernet"", ""'"", ',', ""'Franc"", ""'"", ',', ""'approachable"", ""'"", ',', ""'ready"", ""'"", ',', ""'enjoyed"", ""'"", ',', ""'"", '.', ""'"", ']']";;87;32.0;Virginia;Alexander Peartree;Quiévremont 2012 Meritage (Virginia);Meritage;Quiévremont
20;US;"['[', ""'Ripe"", ""'"", ',', ""'aromas"", ""'"", ',', ""'dark"", ""'"", ',', ""'berries"", ""'"", ',', ""'mingle"", ""'"", ',', ""'ample"", ""'"", ',', ""'notes"", ""'"", ',', ""'black"", ""'"", ',', ""'pepper"", ""'"", ',', ""'"", ',', ""'"", ',', ""'toasted"", ""'"", ',', ""'vanilla"", ""'"", ',', ""'dusty"", ""'"", ',', ""'tobacco"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'palate"", ""'"", ',', ""'oak-driven"", ""'"", ',', ""'nature"", ""'"", ',', ""'"", ',', ""'"", ',', ""'notes"", ""'"", ',', ""'tart"", ""'"", ',', ""'red"", ""'"", ',', ""'currant"", ""'"", ',', ""'shine"", ""'"", ',', ""'"", ',', ""'"", ',', ""'offering"", ""'"", ',', ""'bit"", ""'"", ',', ""'levity"", ""'"", ',', ""'"", '.', ""'"", ']']";Vin de Maison;87;23.0;Virginia;Alexander Peartree;Quiévremont 2012 Vin de Maison Red (Virginia);Red Blend;Quiévremont
21;US;"['[', ""'"", 'A', ""'"", ',', ""'sleek"", ""'"", ',', ""'mix"", ""'"", ',', ""'tart"", ""'"", ',', ""'berry"", ""'"", ',', ""'"", ',', ""'"", ',', ""'stem"", ""'"", ',', ""'herb"", ""'"", ',', ""'"", ',', ""'"", ',', ""'along"", ""'"", ',', ""'hint"", ""'"", ',', ""'oak"", ""'"", ',', ""'chocolate"", ""'"", ',', ""'"", ',', ""'"", ',', ""'fair"", ""'"", ',', ""'value"", ""'"", ',', ""'widely"", ""'"", ',', ""'available"", ""'"", ',', ""'"", ',', ""'"", ',', ""'drink-now"", ""'"", ',', ""'Oregon"", ""'"", ',', ""'Pinot"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'wine"", ""'"", ',', ""'oak-aged"", ""'"", ',', ""'six"", ""'"", ',', ""'months"", ""'"", ',', ""'"", ',', ""'"", ',', ""'whether"", ""'"", ',', ""'neutral"", ""'"", ',', ""'re-staved"", ""'"", ',', ""'indicated"", ""'"", ',', ""'"", '.', ""'"", ']']";;87;20.0;Oregon;Paul Gregutt;Acrobat 2013 Pinot Noir (Oregon);Pinot Noir;Acrobat
22;Italy;"['[', ""'Delicate"", ""'"", ',', ""'aromas"", ""'"", ',', ""'recall"", ""'"", ',', ""'white"", ""'"", ',', ""'flower"", ""'"", ',', ""'citrus"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'palate"", ""'"", ',', ""'offers"", ""'"", ',', ""'passion"", ""'"", ',', ""'fruit"", ""'"", ',', ""'"", ',', ""'"", ',', ""'lime"", ""'"", ',', ""'white"", ""'"", ',', ""'peach"", ""'"", ',', ""'hint"", ""'"", ',', ""'mineral"", ""'"", ',', ""'alongside"", ""'"", ',', ""'bright"", ""'"", ',', ""'acidity"", ""'"", ',', ""'"", '.', ""'"", ']']";Ficiligno;87;19.0;Sicilia;Kerin O’Keefe;Baglio di Pianetto 2007 Ficiligno White (Sicilia);White Blend;Baglio di Pianetto
23;US;"['[', ""'This"", ""'"", ',', ""'wine"", ""'"", ',', ""'Geneseo"", ""'"", ',', ""'district"", ""'"", ',', ""'offers"", ""'"", ',', ""'aromas"", ""'"", ',', ""'sour"", ""'"", ',', ""'plums"", ""'"", ',', ""'enough"", ""'"", ',', ""'cigar"", ""'"", ',', ""'box"", ""'"", ',', ""'tempt"", ""'"", ',', ""'nose"", ""'"", ',', ""'"", '.', ""'"", ',', ""'The"", ""'"", ',', ""'flavors"", ""'"", ',', ""'bit"", ""'"", ',', ""'flat"", ""'"", ',', ""'first"", ""'"", ',', ""'"", ',', ""'"", ',', ""'acidity"", ""'"", ',', ""'tension"", ""'"", ',', ""'sour"", ""'"", ',', ""'cherries"", ""'"", ',', ""'emerges"", ""'"", ',', ""'midpalate"", ""'"", ',', ""'"", ',', ""'"", ',', ""'bolstered"", ""'"", ',', ""'black"", ""'"", ',', ""'licorice"", ""'"", ',', ""'"", '.', ""'"", ']']";Signature Selection;87;22.0;Paso Robles;Matt Kettmann;Bianchi 2011 Signature Selection Merlot (Paso Robles);Merlot;Bianchi
24;Italy;"['[', ""'Aromas"", ""'"", ',', ""'prune"", ""'"", ',', ""'"", ',', ""'"", ',', ""'blackcurrant"", ""'"", ',', ""'"", ',', ""'"", ',', ""'toast"", ""'"", ',', ""'oak"", ""'"", ',', ""'carry"", ""'"", ',', ""'extracted"", ""'"", ',', ""'palate"", ""'"", ',', ""'"", ',', ""'"", ',', ""'along"", ""'"", ',', ""'flavors"", ""'"", ',', ""'black"", ""'"", ',', ""'cherry"", ""'"", ',', ""'roasted"", ""'"", ',', ""'coffee"", ""'"", ',', ""'beans"", ""'"", ',', ""'"", '.', ""'"", ',', ""'Firm"", ""'"", ',', ""'drying"", ""'"", ',', ""'tannins"", ""'"", ',', ""'provide"", ""'"", ',', ""'framework"", ""'"", ',', ""'"", '.', ""'"", ']']";Aynat;87;35.0;Sicilia;Kerin O’Keefe;Canicattì 2009 Aynat Nero d'Avola (Sicilia);Nero d'Avola;Canicattì
